Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Fat Brands, Inc",1705012,FAT,"NASDAQ Capital Market",821302696,"9720 WILSHIRE BLVD.,","SUITE 500","BEVERLY HILLS","Los Angeles",CA,CALIFORNIA,"US West",90212,"(310) 406-0600",DE,,,5812,"Eating and Drinking Places",533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",34,"Baker Tilly US LLP",32612,,,,"1,128,000","418,000",0,0,0,,,0,"418,000","1,546,000",USD,,,0,2021-12-26,2021,12,1229,,,"DEF 14A",2022-08-11,10.32,2021-12-28,"155,599,776",2021-12-26,"118,881,000","-31,583,000","-905,116,000","1,270,032,000"
"Genius Brands International, Inc.",1355848,GNUS,"NASDAQ Capital Market",204118216,"190 N. CANON","4TH FLOOR","BEVERLY HILLS","Los Angeles",CA,CALIFORNIA,"US West",90210,"(310) 273-4222",NV,,,7812,"Motion Picture and Video Tape Production",423990,"Other Miscellaneous Durable Goods Merchant Wholesalers",34,"Baker Tilly US LLP",32612,,,,"255,700","9,650",0,0,"64,645",,,0,"74,295","329,995",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-10-21,1.07,2021-12-29,"322,035,168",2021-12-31,"7,873,000","-126,291,000","117,769,000","174,083,000"
"BankGuam Holding Co",1527383,,,660770448,"111 CHALAN SANTO PAPA","10TH FLOOR - HEADQUARTERS BUILDING",HAGATNA,,GU,GUAM,Foreign,96932,"(671) 472-5271",GU,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Baker Tilly US LLP",32612,,,,"496,281","56,160",0,0,0,,,0,"56,160","552,441",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-06-14,11.2,2021-12-31,"108,875,200",2021-12-31,"106,369,000","20,501,000","149,721,000","2,791,588,000"
"LA JOLLA PHARMACEUTICAL CO",920465,,,330361285,"201 JONES ROAD, SUITE 400",,WALTHAM,Middlesex,MA,MASSACHUSETTS,"US New England",02451,"(617) 715-3600",DE,,,2836,"Biological Products, Except Diagnostic Substances",325414,"Biological Product (except Diagnostic) Manufacturing",34,"Baker Tilly US LLP",32612,,,,"185,951","36,214",0,0,0,,,0,"36,214","222,165",USD,,,0,2021-12-31,2021,12,1231,,,10-K/A,2022-05-02,4.65,2021-12-29,"127,986,728",2021-12-31,"75,720,000","19,660,000","-100,182,000","101,230,000"
"XPEL, Inc.",1767258,XPEL,"NASDAQ Capital Market",201117381,"711 BROADWAY ST.","SUITE 320","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78215,"(210) 678-3700",NV,,,3470,"Coating, Engraving & Allied Services",325510,"Paint and Coating Manufacturing",34,"Baker Tilly US LLP",32612,,,,"80,750",0,0,0,0,,,0,0,"80,750",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-04-08,70.29,2021-12-29,"1,940,889,472",2021-12-31,"259,263,000","31,567,000","26,074,000","161,015,000"
"Clearfield, Inc.",796505,CLFD,"NASDAQ Global Market",411347235,"7050 WINNETKA AVE. N.","SUITE 100","BROOKLYN PARK",Hennepin,MN,MINNESOTA,"US Midwest",55428,"(763) 476-6866",MN,,,3661,"Telephone and Telegraph Apparatus",334210,"Telephone Apparatus Manufacturing",34,"Baker Tilly US LLP",32612,,,,"199,906",0,0,0,0,,,0,0,"199,906",USD,,,0,2021-09-30,2021,09,0930,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-01-12,43.93,2021-09-28,"603,710,016",2021-09-30,"140,755,000","20,327,000","94,418,000","125,910,000"
"Flux Power Holdings, Inc.",1083743,FLUX,"NASDAQ Capital Market",860931332,"2685 S. MELROSE DRIVE",,VISTA,"San Diego",CA,CALIFORNIA,"US West",92081,"(877) 505-3589",NV,,,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing",34,"Baker Tilly US LLP",32612,,,,"134,000",0,0,0,0,,,0,0,"134,000",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2022-03-14,10.63,2021-07-02,"140,874,752",2021-06-30,"26,257,000","-12,793,000",,"26,262,000"
"YORK WATER CO",108985,YORW,"NASDAQ Global Select Market",231242500,"130 E MARKET ST",,YORK,York,PA,PENNSYLVANIA,"US Mid Atlantic",17401-1219,"(717) 845-3601",PA,,,4941,"Water Supply",221310,"Water Supply and Irrigation Systems",34,"Baker Tilly US LLP",32612,,,,"166,393",0,0,0,"15,150",,,0,"15,150","181,543",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-18,49.49,2021-12-29,"648,547,072",2021-12-31,"55,119,000","16,984,000",,"458,853,000"
"FIRST KEYSTONE CORP",737875,FKYS,"Pink Current",232249083,"111 W FRONT ST","PO BOX 289",BERWICK,Columbia,PA,PENNSYLVANIA,"US Mid Atlantic",18603,"570-752-3671 X 1150",PA,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Baker Tilly US LLP",32612,,,,"201,010",0,0,0,"20,600","20,600",,0,"20,600","221,610",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-25,25,2021-12-29,"148,261,568",2021-12-31,"43,363,000","14,688,000","129,422,000","1,320,350,000"
"MIDDLESEX WATER CO",66004,MSEX,"NASDAQ Global Select Market",221114430,"485C ROUTE 1 SOUTH","SUITE 400",ISELIN,Middlesex,NJ,"NEW JERSEY","US Mid Atlantic",08830,"(732) 634-1500",NJ,,,4941,"Water Supply",221310,"Water Supply and Irrigation Systems",34,"Baker Tilly US LLP",32612,,,,"432,150",0,0,0,"31,000","31,000",,0,"31,000","463,150",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-04-08,116.52,2021-12-29,"2,038,752,128",2021-12-31,"143,141,000","36,543,000",,"1,020,015,000"
"Embassy Bancorp, Inc.",1449794,EMYB,"OTCQX U.S. Premier",263339011,"100 GATEWAY DRIVE","SUITE 100",BETHLEHEM,Northampton,PA,PENNSYLVANIA,"US Mid Atlantic",18017,"(610) 882-8800",PA,,,6022,"State Commercial Banks",551111,"Offices of Bank Holding Companies",34,"Baker Tilly US LLP",32612,,,,"188,425",0,0,0,"13,085",,,0,"13,085","201,510",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-25,20.03,2021-12-29,"150,404,592",2021-12-31,"44,979,000","16,786,000",,"1,633,194,000"
"Performant Financial Corp",1550695,PFMT,"NASDAQ Global Select Market",200484934,"333 NORTH CANYONS PARKWAY",,Livermore,Alameda,CA,CALIFORNIA,"US West",94551,"(925) 960-4800",DE,,,7380,"Services-Miscellaneous Business Services",561440,"Collection Agencies",34,"Baker Tilly US LLP",32612,,,,"1,169,440",0,0,0,0,,,"11,500","11,500","1,180,940",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-29,2.29,2021-12-29,"158,340,528",2021-12-31,"124,393,000","-10,288,000","35,051,000","121,985,000"
"WM TECHNOLOGY, INC.",1779474,MAPS,"NASDAQ Global Select Market",981605615,"41 DISCOVERY",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(646) 699-3750",E9,,,7372,"Prepackaged Software",518210,"Data Processing, Hosting, and Related Services",34,"Baker Tilly US LLP",32612,,,,"458,050","142,312",0,0,0,,,0,"142,312","600,362",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-04-29,6.05,2021-12-29,"397,348,032",2021-12-31,"193,146,000","60,383,000","9,962,000","365,144,000"
"Green Thumb Industries Inc.",1795139,GTBIF,"OTCQX International",981437430,"325 WEST HURON STREET","SUITE 700",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60654,"(312) 471-6720",,,,0100,"Agricultural production- crops",325411,"Medicinal and Botanical Manufacturing",34,"Baker Tilly US LLP",32612,,,,"1,069,240",0,0,0,0,,,"65,000","65,000","1,134,240",USD,,,0,2021-12-31,2021,12,,,,"DEF 14A",2022-05-02,21.25,2021-12-29,"4,139,100,928",2021-12-31,"893,560,000","75,436,000","312,776,000","2,385,851,000"
"Emmaus Life Sciences, Inc.",822370,EMMA,"OTCQX U.S.",870419387,"21250 HAWTHORNE BOULEVARD, SUITE 800",,TORRANCE,"Los Angeles",CA,CALIFORNIA,"US West",90503,"(310) 214-0065",DE,,,2834,"Pharmaceutical Preparations",621330,"Offices of Mental Health Practitioners (except Physicians)",34,"Baker Tilly US LLP",32612,,,,"217,500",0,0,0,0,,,0,0,"217,500",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-10-31,1.6,2021-12-29,"78,898,984",2021-12-31,"20,610,000","-15,946,000",,"56,734,000"
"EACO CORP",784539,EACO,"Pink Current",592597349,"5065 E HUNTER AVE",,ANAHEIM,Orange,CA,CALIFORNIA,"US West",92807,"(714) 876-2490",FL,,,5065,"Electronic Parts and Equipment, NEC",722110,"Full-Service Restaurants",34,"Baker Tilly US LLP",32612,,,,"117,300",0,0,0,0,,,0,0,"117,300",USD,,,0,2021-08-31,2021,08,0831,,,10-K,2022-07-06,19.08,2021-09-02,"92,759,136",2021-08-31,"237,962,000","8,387,000",,"110,385,000"
"LAKE SHORE BANCORP, INC.",1341318,LSBK,"NASDAQ Global Market",204729288,"31 EAST FOURTH STREET",,DUNKIRK,Chautauqua,NY,"NEW YORK","US Mid Atlantic",14048,"(716) 366-4070",X1,,,6035,"Savings Institutions, Federally Chartered",522120,"Savings Institutions",34,"Baker Tilly US LLP",32612,,,,"190,000","24,500",0,0,0,,,0,"24,500","214,500",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-07,15.17,2021-12-30,"86,363,176",2021-12-31,"24,532,000","6,187,000",,"713,739,000"
"Ads-Tec Energy Public Ltd Co",1879248,ADSE,"NASDAQ Capital Market",,"10 EARLSFORT TERRACE","DUBLIN 2",DUBLIN,,L2,IRELAND,Foreign,"D02 T380",35319201000,L2,,,3790,"Miscellaneous Transportation Equipment",335312,"Motor and Generator Manufacturing",34,"BDO AG WpG",2008,,,,"450,000","403,060",0,0,0,,,0,"403,060","853,060",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-04-28,3,2023-02-22,"146,423,694",2021-12-31,"37,568,000","-99,665,000","90,813,000","171,974,000"
"TRANSGLOBE ENERGY CORP",736744,,,000000000,"900, 444 - 5TH AVENUE SW",,CALGARY,,A0,ALBERTA,Canada,T2P2T8,"(403) 264-9888",A0,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"BDO Canada LLP",11512,,,,"318,251",0,0,0,"8,548",,,0,"8,548","326,799",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-17,2.94,2021-12-29,"213,273,696",2021-12-31,"169,047,000","40,338,000","175,901,000","239,095,000"
"Clever Leaves Holdings Inc.",1819615,CLVR,"NASDAQ Capital Market",,"BODEGA 19-B PARQUE INDUSTRIAL TIBITOC PH",,"TOCANCIPA - CUNDINAMARCA",,F8,COLOMBIA,Foreign,251017,"(561) 634-7430",A1,,,2834,"Pharmaceutical Preparations",111998,"All Other Miscellaneous Crop Farming",34,"BDO Canada LLP",11512,,,,"1,285,000","113,000",0,0,0,,,0,"113,000","1,398,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-10,3.08,2021-12-29,"80,738,664",2021-12-31,"15,374,000","-45,726,000","49,653,000","116,160,000"
"ACM Research, Inc.",1680062,ACMR,"NASDAQ Global Market",943290283,"42307 OSGOOD ROAD, SUITE I",,FREMONT,Alameda,CA,CALIFORNIA,"US West",94539,"(510) 445-3700",CA,,,3559,"Special  Industry Machinery, NEC",333295,"Semiconductor Machinery Manufacturing",34,"BDO China Shu Lun Pan CPAs LLP",13703,,,,"723,850","1,579,450",0,0,0,,,0,"1,579,450","2,303,300",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-05-20,80.61,2021-12-29,"1,435,817,856",2021-12-31,"259,751,000","37,757,000","666,060,000","1,052,179,000"
"INNODATA INC",903651,INOD,"NASDAQ Global Market",133475943,"THREE UNIVERSITY PLAZA","SUITE 202",HACKENSACK,Bergen,NJ,"NEW JERSEY","US Mid Atlantic",07601,"(201) 488-1200",DE,,,7374,"Computer Processing and Data Preparation and Processing Services",518210,"Data Processing, Hosting, and Related Services",34,"BDO India LLP",26507,,,,"186,000","8,900",0,0,0,,,0,"8,900","194,900",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-26,5.68,2021-12-29,"154,231,792",2021-12-31,"69,755,000","-1,673,000","17,437,000","59,217,000"
"Startek, Inc.",1031029,SRT,NYSE,841370538,"4610 SOUTH ULSTER STREET","SUITE 150",DENVER,Denver,CO,COLORADO,"US West",80237,"(303) 262-4500",DE,,,7363,"Help Supply Services",518210,"Data Processing, Hosting, and Related Services",34,"BDO India LLP",26507,,,,"650,000",0,0,0,0,,,0,0,"650,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-10-12,5.23,2021-12-29,"213,406,896",2021-12-31,"470,329,000","9,726,000","-23,345,000","642,475,000"
"Mereo Biopharma Group plc",1719714,MREO,"NASDAQ Global Market",,"ONE CAVENDISH PLACE","FOURTH FLOOR",LONDON,,X0,"UNITED KINGDOM",Foreign,W1G0QF,4403330237300,X0,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"BDO LLP (UK)",13571,,,,"634,221",0,0,0,0,,,0,0,"634,221",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-31,1.57,2021-12-29,"106,431,288",2021-12-31,"49,389,000","17,236,000","85,924,000","171,227,000"
"Vaccitech plc",1828185,VACC,"NASDAQ Global Market",000000000,"UNIT 6-10, ZEUS BUILDING","RUTHERFORD AVENUE, HARWELL",DIDCOT,,X0,"UNITED KINGDOM",Foreign,"OX11 0DF","44 (0) 1865 818808",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"BDO LLP (UK)",13571,,,,"584,000","364,000",0,0,"73,000",,,0,"437,000","1,021,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-02,10.34,2021-12-29,"360,374,080",2021-12-31,"268,000","-50,865,000","210,436,000","280,715,000"
"Gafisa S.A.",1389207,GFASY,"Pink Current",000000000,"AV. NACOES UNIDAS, 8501 - 19 ANDAR","05477-000 - ALTO DE PINHEIROS","SAO PAULO - SP",,D5,BRAZIL,Foreign,00000,551130259000,D5,,,1520,"General Bldg Contractors - Residential Bldgs",236115,"New Single-Family Housing Construction (except Operative Builders)",34,"BDO RCS Auditores Independentes",16798,,,,"38,406",0,0,0,0,,,"45,701","45,701","84,107",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-08-01,0.675,2021-12-29,"101,478,184",2021-12-31,"146,913,000","16,155,000","295,770,000","847,796,000"
"Caledonia Mining Corp Plc",766011,CMCL,"NYSE MKT",000000000,"B006 MILLAIS HOUSE","CASTLE QUAY","ST HELIER",,Y9,JERSEY,Foreign,"JE2 3NF",441534679800,,,,1040,"Metal Mining",212221,"Gold Ore Mining",34,"BDO South Africa Inc",20576,,,,"282,888",0,0,0,0,,,"12,715","12,715","295,603",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-05-17,11.5,2021-12-29,"139,366,464",2021-12-31,"121,329,000","23,142,000",,"210,877,000"
"TILLY'S, INC.",1524025,TLYS,NYSE,452164791,"10 WHATNEY",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(949) 609-5599",DE,,,5600,"Retail-Apparel & Accessory Stores",448140,"Family Clothing Stores",34,"BDO USA LLP",11761,,,,"564,000","10,000",0,0,0,,,0,"10,000","574,000",USD,,,0,2021-01-30,2021,01,0128,,"Russell 2000","DEF 14A",2021-04-12,9.86,2021-02-01,"221,601,920",2021-01-30,"531,329,000","-1,145,000",,"507,456,000"
"ORION ENERGY SYSTEMS, INC.",1409375,OESX,"NASDAQ Capital Market",391847269,"2210 WOODLAND DRIVE",,MANITOWOC,Manitowoc,WI,WISCONSIN,"US Midwest",54220,"(800) 660-9340",WI,,,3640,"Electric Lighting & Wiring Equipment",541690,"Other Scientific and Technical Consulting Services",34,"BDO USA LLP",11761,,,,"624,445",0,0,0,0,,,0,0,"624,445",USD,,,0,2021-03-31,2021,03,0331,,,"DEF 14A",2021-06-21,6.62,2021-03-29,"203,630,896",2021-03-31,"116,840,000","26,134,000","56,122,000","92,821,000"
"U-Haul Holding Co /NV/",4457,UHAL,NYSE,880106815,"5555 KIETZKE LANE STE 100",,RENO,Washoe,NV,NEVADA,"US West",89511,"(775) 688-6300",NV,,,7510,"Services-Auto Rental & Leasing (No Drivers)",532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",34,"BDO USA LLP",11761,,,,"3,153,000","85,000",0,0,"400,000",,,0,"485,000","3,638,000",USD,Yes,,0,2021-03-31,2021,03,0331,,"Russell 1000","DEF 14A",2021-07-07,606.61,2021-03-29,"11,894,280,192",2021-03-31,"4,541,985,000","610,856,000",,"14,651,606,000"
"Dynatrace, Inc.",1773383,DT,NYSE,472386428,"1601 TRAPELO ROAD, SUITE 116",,WALTHAM,Middlesex,MA,MASSACHUSETTS,"US New England",02451,"(781) 530-1000",,,,7372,"Prepackaged Software",518210,"Data Processing, Hosting, and Related Services",34,"BDO USA LLP",11761,,,,"3,464,501","30,025",0,0,"73,521",,,0,"103,546","3,568,047",USD,,,0,2021-03-31,2021,03,0331,"S&P 400 MidCap","Russell 1000","DEF 14A",2021-07-15,46.75,2021-03-29,"13,211,259,904",2021-03-31,"703,509,000","75,714,000","-307,078,000","2,256,218,000"
"GSI TECHNOLOGY INC",1126741,GSIT,"NASDAQ Global Select Market",770398779,"1213 ELKO DRIVE",,SUNNYVALE,"Santa Clara",CA,CALIFORNIA,"US West",94089,483319802,DE,,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,"BDO USA LLP",11761,,,,"612,440",0,0,0,"27,814",,,0,"27,814","640,254",USD,,,0,2021-03-31,2021,03,0331,,,"DEF 14A",2021-07-19,6.93,2021-03-29,"164,919,888",2021-03-31,"27,729,000","-21,505,000","69,583,000","87,612,000"
"LiveOne, Inc.",1491419,LVO,"NASDAQ Capital Market",980657263,"9200 SUNSET BOULEVARD","SUITE #1201","WEST HOLLYWOOD","Los Angeles",CA,CALIFORNIA,"US West",90069,"(310) 601-2505",DE,,,5812,"Eating and Drinking Places",722410,"Drinking Places (Alcoholic Beverages)",34,"BDO USA LLP",11761,,,,"715,000",0,0,0,"52,000","52,000",,0,"52,000","767,000",USD,,,0,2021-03-31,2021,03,0331,,,"DEF 14A",2021-07-29,4.43,2021-03-29,"334,370,112",2021-03-31,"65,230,000","-41,820,000","-36,951,000","85,769,000"
"FREQUENCY ELECTRONICS INC",39020,FEIM,"NASDAQ Global Market",111986657,"55 CHARLES LINDBERGH BLVD",,"MITCHEL FIELD",Nassau,NY,"NEW YORK","US Mid Atlantic",11553,"(516) 794-4500",DE,,,3825,"Instruments for Measuring and Testing of Electricity and Electrical Signals",334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals",34,"BDO USA LLP",11761,,,,"338,506","30,010",0,0,0,,,"64,631","94,641","433,147",USD,,,0,2021-04-30,2021,04,0430,,,"DEF 14A",2021-08-30,10.6,2021-04-28,"97,516,024",2021-04-30,"54,254,000","680,000","54,792,000","98,528,000"
"Axos Financial, Inc.",1299709,AX,NYSE,330867444,"9205 WEST RUSSELL ROAD","SUITE #400","LAS VEGAS",Clark,NV,NEVADA,"US West",89148,"(858) 649-2218",DE,,,6035,"Savings Institutions, Federally Chartered",522120,"Savings Institutions",34,"BDO USA LLP",11761,,,,"940,000",0,0,0,0,,,0,0,"940,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-09-08,46.11,2021-07-02,"2,731,477,760",2021-06-30,"620,253,000","215,707,000","1,284,964,000","14,265,565,000"
"PROSPECT CAPITAL CORP",1287032,PSEC,"NASDAQ Global Select Market",432048643,"10 EAST 40TH STREET 44TH FL",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10016,"(212) 448-0702",MD,,,,,525990,"Other Financial Vehicles",34,"BDO USA LLP",11761,,,,"2,850,000",0,0,0,0,,,0,0,"2,850,000",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-09-14,8.46,2021-07-02,"3,280,433,408",2021-06-30,"501,349,000","963,807,000",,"6,303,092,000"
"MasterCraft Boat Holdings, Inc.",1638290,MCFT,"NASDAQ Global Market",061571747,"100 CHEROKEE COVE DRIVE",,VONORE,Monroe,TN,TENNESSEE,"US Southeast",37885,"(423) 884-2221",DE,,,3730,"Ship & Boat Building & Repairing",336612,"Boat Building",34,"BDO USA LLP",11761,,,,"100,000",0,0,0,0,,,0,0,"100,000",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-09-15,25.68,2021-07-02,"486,646,496",2021-06-30,"525,808,000","56,170,000","18,296,000","276,460,000"
"AVIAT NETWORKS, INC.",1377789,AVNW,"NASDAQ Global Select Market",205961564,"200 PARKER DRIVE","SUITE C100A",AUSTIN,Travis,TX,TEXAS,"US Southwest",78728,"(408) 941-7100",DE,,,3663,"Radio and Television Broadcasting and Communications Equipment",517212,"Cellular and Other Wireless Telecommunications",34,"BDO USA LLP",11761,,,,"1,387,000",0,0,0,"248,000","160,000","88,000",0,"248,000","1,635,000",USD,,,0,2021-07-02,2021,6,0630,,"Russell 2000","DEF 14A",2021-09-27,32.77,2021-06-30,"365,850,624",2021-07-02,"274,911,000","110,139,000",,"297,653,000"
"CANTALOUPE, INC.",896429,CTLP,"NASDAQ Global Market",232679963,"100 DEERFIELD LANE","SUITE 300",MALVERN,Chester,PA,PENNSYLVANIA,"US Mid Atlantic",19355,"(610) 989-0340",PA,,,3578,"Calculating and Accounting Machines, Except Electronic Computers",332116,"Metal Stamping",34,"BDO USA LLP",11761,,,,"1,661,000","17,000",0,0,0,,,0,"17,000","1,678,000",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-10-01,12.25,2021-07-02,"871,113,600",2021-06-30,"166,939,000","-8,705,000","70,594,000","237,672,000"
"CHARLES & COLVARD LTD",1015155,CTHR,"NASDAQ Capital Market",561928817,"170 SOUTHPORT DRIVE",,MORRISVILLE,Wake,NC,"NORTH CAROLINA","US Southeast",27560,"(919) 468-0399",NC,,,3910,"Jewelry, Silverware & Plated Ware",423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",34,"BDO USA LLP",11761,,,,"193,000",0,0,0,"31,000",,,0,"31,000","224,000",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-01,2.92,2021-07-02,"87,170,616",2021-06-30,"39,235,839","12,810,766","55,479,358","64,921,999"
"ALPHA & OMEGA SEMICONDUCTOR Ltd",1387467,AOSL,"NASDAQ Global Select Market",770553536,"475 OAKMEAD PARKWAY",,SUNNYVALE,"Santa Clara",CA,CALIFORNIA,"US West",94085,"(408) 830-9742",,,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,"BDO USA LLP",11761,,,,"1,070,000",0,0,0,0,,,0,0,"1,070,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-10-01,29.76,2021-07-02,"776,473,792",2021-06-30,"656,902,000","58,116,000","359,795,000","918,573,000"
"RADIANT LOGISTICS, INC",1171155,RLGT,"NYSE MKT",043625550,"700 S RENTON VILLAGE PLACE","SEVENTH FLOOR",RENTON,King,WA,WASHINGTON,"US West",98057,"(425) 462-1094",DE,,,4731,"Arrangement of Transportation of  Freight and Cargo",488510,"Freight Transportation Arrangement",34,"BDO USA LLP",11761,,,,"470,263",0,0,0,0,,,0,0,"470,263",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-10-01,6.89,2021-07-02,"345,323,168",2021-06-30,"899,812,000","23,110,000","51,954,000","374,528,000"
"SHARPS COMPLIANCE CORP",898770,,,742657168,"9220 KIRBY DRIVE","STE 500",HOUSTON,Harris,TX,TEXAS,"US Southwest",77054,"(713) 432-0300",DE,,,4955,"Hazardous Waste Management",562112,"Hazardous Waste Collection",34,"BDO USA LLP",11761,,,,"300,000","7,740",0,0,0,,,0,"7,740","307,740",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-06,10.15,2021-07-02,"171,438,832",2021-06-30,"76,424,000","12,868,000","37,610,000","75,431,000"
"1 800 FLOWERS COM INC",1084869,FLWS,"NASDAQ Global Select Market",113117311,"TWO JERICHO PLAZA","SUITE 200",JERICHO,Nassau,NY,"NEW YORK","US Mid Atlantic",11753,"(516) 237-6000",DE,,,5990,"Retail-Retail Stores, NEC",453110,Florists,34,"BDO USA LLP",11761,,,,"1,145,000","284,642",0,0,"175,292",,,"171,082","631,016","1,776,016",USD,,,0,2021-06-27,2021,06,0702,,"Russell 2000","DEF 14A",2021-10-25,33.91,2021-06-29,"1,252,335,744",2021-06-27,"2,122,245,000","118,652,000","161,872,000","1,076,679,000"
"Stride, Inc.",1157408,LRN,NYSE,954774688,"11720 PLAZA AMERICA DRIVE","9TH FLOOR",RESTON,Fairfax,VA,VIRGINIA,"US Mid Atlantic",20190,"(703) 483-7000",DE,,,8200,"Services-Educational Services",516110,"Internet Publishing and Broadcasting",34,"BDO USA LLP",11761,,,,"1,227,008","47,272",0,0,0,,,0,"47,272","1,274,280",USD,,,0,2021-06-30,2021,06,0630,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-10-27,32.59,2021-07-02,"1,353,853,184",2021-06-30,"1,536,760,000","71,451,000","357,131,000","1,577,297,000"
"MEI Pharma, Inc.",1262104,MEIP,"NASDAQ Capital Market",510407811,"11455 EL CAMINO REAL","SUITE 250","SAN DIEGO","San Diego",CA,CALIFORNIA,"US West",92130,"(858) 369-7100",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"BDO USA LLP",11761,,,,"256,300",0,0,0,"33,200",,,0,"33,200","289,500",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-28,2.94,2021-07-02,"331,019,840",2021-06-30,"34,796,000","-41,314,000",,"174,098,000"
